Date;endTime;artistName;trackName;msPlayed
1/4/20;1/4/20 04:14;Bad Bunny;Yo Perreo Sola;57818
1/4/20;1/4/20 12:21;Bad Bunny;Safaera;295176
1/4/20;1/4/20 12:25;Rauw Alejandro;Fantasias - Remix;216429
1/4/20;1/4/20 12:25;Dímelo Flow;Sigues Con El;4757
1/4/20;1/4/20 12:27;Frank Sinatra;My Way;78041
1/4/20;1/4/20 12:28;Eminem;Premonition - Intro;173893
1/4/20;1/4/20 12:31;Eminem;Unaccommodating (feat. Young M.A);180325
1/4/20;1/4/20 12:35;Eminem;Greatest;226937
1/4/20;1/4/20 13:59;Eminem;Lucky You (feat. Joyner Lucas);182641
1/4/20;1/4/20 17:55;Las Pastillas del Abuelo;El Favor;4885
1/4/20;1/4/20 17:55;Rauw Alejandro;Tattoo;155242
1/4/20;1/4/20 17:55;Las Pastillas del Abuelo;Rompecabezas de Amor;3562
1/4/20;1/4/20 17:55;Bad Bunny;Safaera;6528
1/4/20;1/4/20 18:02;Las Pastillas del Abuelo;Rompecabezas de Amor;188928
1/4/20;1/4/20 21:15;Las Pastillas del Abuelo;Rompecabezas de Amor;3029
1/4/20;1/4/20 21:15;Eminem;Premonition - Intro;1429
1/4/20;1/4/20 21:15;Eminem;Unaccommodating (feat. Young M.A);5205
1/4/20;1/4/20 21:20;Eminem;Like Toy Soldiers;296880
1/4/20;1/4/20 21:21;Eminem;Shake That;52401
1/4/20;1/4/20 21:25;Eminem;Shake That;221300
1/4/20;1/4/20 21:31;Eminem;Cinderella Man;229537
1/4/20;1/4/20 21:35;Eminem;Just Lose It;248680
1/4/20;1/4/20 21:39;Eminem;Cinderella Man;277
1/4/20;1/4/20 21:39;Eminem;The Monster;242177
1/4/20;1/4/20 22:22;Eminem;The Monster;1472
2/4/20;2/4/20 19:39;No Te Va Gustar;Ángel Con Campera;279666
2/4/20;2/4/20 19:45;No Te Va Gustar;Tan Lejos (En Vivo);313853
2/4/20;2/4/20 19:49;No Te Va Gustar;De Nada Sirve;237873
2/4/20;2/4/20 19:55;No Te Va Gustar;Al Vacío;263360
2/4/20;2/4/20 20:01;No Te Va Gustar;Chau;320656
2/4/20;2/4/20 22:22;No Te Va Gustar;Arde;263092
2/4/20;2/4/20 22:23;Lyanno;Luna Llena;4202
2/4/20;2/4/20 22:23;No Te Va Gustar;No Necesito Nada;97481
2/4/20;2/4/20 22:26;Cali Y El Dandee;Borracho De Amor;175706
2/4/20;2/4/20 22:30;Rauw Alejandro;Elegí (feat. Dímelo Flow);197721
2/4/20;2/4/20 22:54;Rauw Alejandro;Elegí (feat. Dímelo Flow);6336
2/4/20;2/4/20 22:54;Sebastian Yatra;TBT;66751
2/4/20;2/4/20 22:57;Cali Y El Dandee;Borracho De Amor;175706
2/4/20;2/4/20 23:01;Rauw Alejandro;Elegí (feat. Dímelo Flow);197721
2/4/20;2/4/20 23:04;Sebastian Yatra;TBT;229194
2/4/20;2/4/20 23:05;Rauw Alejandro;Elegí (feat. Dímelo Flow);47786
2/4/20;2/4/20 23:08;Ozuna;100 Preguntas;178080
2/4/20;2/4/20 23:12;Rich Music LTD;Imaginate;225013
2/4/20;2/4/20 23:26;Bad Bunny;La Difícil;128851
2/4/20;2/4/20 23:29;Ozuna;100 Preguntas;178080
2/4/20;2/4/20 23:33;Rich Music LTD;Imaginate;225013
2/4/20;2/4/20 23:36;Bad Bunny;La Difícil;163084
2/4/20;2/4/20 23:46;Rauw Alejandro;Una Noche;181399
2/4/20;2/4/20 23:49;J Balvin;Rojo;150853
2/4/20;2/4/20 23:50;Myke Towers;Diosa;2218
2/4/20;2/4/20 23:50;Rauw Alejandro;Tattoo;66118
2/4/20;2/4/20 23:51;Lenny Tavárez;La Pared 360;11157
2/4/20;2/4/20 23:56;Frank Sinatra;That's Life;303352
3/4/20;3/4/20 00:00;Benjamín Amadeo;Las Flores (feat. Los Auténticos Decadentes);213948
3/4/20;3/4/20 00:01;Salvapantallas;Vueltas;44369
3/4/20;3/4/20 00:01;Morat;Presiento;3436
3/4/20;3/4/20 00:04;Queen;Love Of My Life - Live;227369
3/4/20;3/4/20 00:10;Queen;Bohemian Rhapsody - Remastered 2011;354320
3/4/20;3/4/20 00:14;Queen;Another One Bites The Dust;214640
3/4/20;3/4/20 00:18;Queen;I Want It All - Single Version;235424
3/4/20;3/4/20 19:43;Queen;I Want It All - Single Version;4435
3/4/20;3/4/20 19:43;Queen;Love Of My Life - Live;1462
3/4/20;3/4/20 19:43;Queen;I Want To Break Free - Single Remix;557
3/4/20;3/4/20 20:14;Queen;The Show Must Go On - Remastered 2011;24311
3/4/20;3/4/20 21:04;Lyanno;Luna Llena;27328
3/4/20;3/4/20 21:04;Queen;The Show Must Go On - Remastered 2011;1621
3/4/20;3/4/20 21:08;Lunay;La Cama - Remix;211889
3/4/20;3/4/20 21:13;Calle 13;El Aguante;288746
3/4/20;3/4/20 21:17;Calle 13;Ojos Color Sol (feat. Silvio Rodríguez);215813
3/4/20;3/4/20 21:18;Calle 13;Multi_Viral (feat. Julian Assange, Kamilya Jubran & Tom Morello);60660
3/4/20;3/4/20 21:19;No Te Va Gustar;Ángel Con Campera;52500
3/4/20;3/4/20 22:08;Las Pastillas del Abuelo;Ojos de Dragón!;1237
3/4/20;3/4/20 22:08;No Te Va Gustar;Ángel Con Campera;7466
3/4/20;3/4/20 22:12;Las Pastillas del Abuelo;Incontinencia Verbal;230568
3/4/20;3/4/20 22:13;Las Pastillas del Abuelo;Amar y Envejecer;35832
3/4/20;3/4/20 22:13;Las Pastillas del Abuelo;Más Lejos;682
3/4/20;3/4/20 22:16;Las Pastillas del Abuelo;Que Carajo Es el Amor?;192920
3/4/20;3/4/20 22:19;Las Pastillas del Abuelo;Tantas Escaleras;153822
3/4/20;3/4/20 22:19;Las Pastillas del Abuelo;La Casada;1877
4/4/20;4/4/20 13:16;Jowell & Randy;Vamo a Busal;35498
4/4/20;4/4/20 13:16;Las Pastillas del Abuelo;Enano;4928
4/4/20;4/4/20 13:19;Las Pastillas del Abuelo;Que Carajo Es el Amor?;192920
4/4/20;4/4/20 14:43;Las Pastillas del Abuelo;Tantas Escaleras;110580
4/4/20;4/4/20 14:46;Las Pastillas del Abuelo;Que Carajo Es el Amor?;192920
4/4/20;4/4/20 14:56;Las Pastillas del Abuelo;Tantas Escaleras;303866
4/4/20;4/4/20 15:03;Las Pastillas del Abuelo;La Creatividad;5653
4/4/20;4/4/20 15:03;Las Pastillas del Abuelo;La Casada;221850
4/4/20;4/4/20 15:40;Alaina Castillo;no importa;94144
4/4/20;4/4/20 15:44;Rauw Alejandro;Tattoo;202886
4/4/20;4/4/20 15:49;J Balvin;Rojo;30021
4/4/20;4/4/20 15:53;Dímelo Flow;Sigues Con El;226532
4/4/20;4/4/20 15:58;Rauw Alejandro;Fantasias - Remix;267241
4/4/20;4/4/20 16:02;Sebastian Yatra;TBT;239133
4/4/20;4/4/20 16:05;Bad Bunny;Yo Perreo Sola;172127
4/4/20;4/4/20 16:07;J Balvin;Amarillo;157733
4/4/20;4/4/20 16:11;Myke Towers;Diosa;214013
4/4/20;4/4/20 16:14;Anuel AA;Keii;163695
4/4/20;4/4/20 19:05;Anuel AA;Keii;3093
4/4/20;4/4/20 19:05;KAROL G;Tusa;1151
4/4/20;4/4/20 19:10;Bad Bunny;Yo Perreo Sola;93397
4/4/20;4/4/20 19:10;Myke Towers;Diosa;2495
4/4/20;4/4/20 19:11;Rauw Alejandro;Elegí (feat. Dímelo Flow);1749
4/4/20;4/4/20 19:11;Tainy;TU AMIGA (with Justin Quiles & Dylan Fuentes feat. Lennox & Llane);16170
4/4/20;4/4/20 19:15;Ozuna;100 Preguntas;178080
4/4/20;4/4/20 19:17;Bad Bunny;La Difícil;810
4/4/20;4/4/20 19:17;Rauw Alejandro;Tattoo;661
4/4/20;4/4/20 19:17;Rich Music LTD;Imaginate;152172
4/4/20;4/4/20 19:17;Rauw Alejandro;Una Noche;1045
4/4/20;4/4/20 19:17;J Balvin;Rojo;533
4/4/20;4/4/20 19:18;Myke Towers;Diosa;4544
4/4/20;4/4/20 19:18;Lenny Tavárez;La Pared 360;10240
4/4/20;4/4/20 19:21;Pedro Capó;Buena Suerte;174917
4/4/20;4/4/20 21:14;Myke Towers;Diosa;0
4/4/20;4/4/20 21:16;Myke Towers;Diosa;0
4/4/20;4/4/20 21:17;Anuel AA;Keii;9440
4/4/20;4/4/20 21:19;Jorge Drexler;Inoportuna;164688
4/4/20;4/4/20 21:25;Jorge Drexler;Las transeúntes;302698
4/4/20;4/4/20 21:29;Jorge Drexler;Todo se transforma;216845
4/4/20;4/4/20 21:33;Jorge Drexler;La trama y el desenlace;245947
4/4/20;4/4/20 21:36;Jorge Drexler;Telefonía;184938
4/4/20;4/4/20 21:48;No Te Va Gustar;De Nada Sirve;237814
4/4/20;4/4/20 21:51;Jorge Drexler;Mediterráneo;206948
4/4/20;4/4/20 21:54;Jorge Drexler;Me haces bien;184434
4/4/20;4/4/20 21:58;Jorge Drexler;Universos paralelos (feat. Ana Tijoux);221947
4/4/20;4/4/20 22:07;Jorge Drexler;Salvapantallas;74280
4/4/20;4/4/20 22:10;Bad Bunny;Yo Perreo Sola;172025
4/4/20;4/4/20 22:13;J Balvin;Amarillo;157690
4/4/20;4/4/20 22:21;Myke Towers;Diosa;147319
4/4/20;4/4/20 22:30;Camilo;Favorito;211516
4/4/20;4/4/20 22:35;Bad Bunny;Safaera;295177
4/4/20;4/4/20 22:39;Tainy;TU AMIGA (with Justin Quiles & Dylan Fuentes feat. Lennox & Llane);232698
4/4/20;4/4/20 22:48;Daddy Yankee;Definitivamente;217613
4/4/20;4/4/20 22:52;Nicky Jam;Muévelo;194685
5/4/20;5/4/20 00:58;Melendi;Por Encima de la Bruma;118549
5/4/20;5/4/20 01:01;Bad Bunny;Yo Perreo Sola;172127
5/4/20;5/4/20 01:03;J Balvin;Amarillo;157733
5/4/20;5/4/20 01:06;Myke Towers;Diosa;131624
5/4/20;5/4/20 01:34;Rauw Alejandro;Elegí (feat. Dímelo Flow);148667
5/4/20;5/4/20 01:37;Ozuna;100 Preguntas;177940
5/4/20;5/4/20 01:42;Morat;No Termino;239686
5/4/20;5/4/20 01:45;Dalex;Perfume;194958
5/4/20;5/4/20 01:47;Lenny Tavárez;La Pared 360;154208
5/4/20;5/4/20 01:50;Carlos Rivera;Perdiendo la Cabeza;165198
5/4/20;5/4/20 01:54;El Alfa;Coronao Now (Remix);249938
5/4/20;5/4/20 01:58;Bad Bunny;Ignorantes;209863
5/4/20;5/4/20 02:34;Bad Bunny;Yo Perreo Sola;8682
5/4/20;5/4/20 02:34;Bad Bunny;Safaera;208191
5/4/20;5/4/20 02:37;Bad Bunny;Yo Perreo Sola;147859
